id;prefix;size;group_code;designation_sv;designation_en;description_sv;description_en;material_sv;material_en;price_sek_1;price_sek_2;price_sek_3;price_sek_4;price_sek_5;price_eur_1;price_eur_2;price_eur_3;price_eur_4;price_eur_5;sheets_per_unit;pricing_tier_id;active;images
1;VM;150-210;M;Varselmärkning 150x210 mm, vinyletikett, påbud, enl.spec.;Safety marking 150x210 mm, vinyl label, mandatory, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
2;VM;150-210;W;Varselmärkning 150x210 mm, vinyletikett, varning, enl.spec.;Safety marking 150x210 mm, vinyl label, warning, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
3;VM;150-210;P;Varselmärkning 150x210 mm, vinyletikett, förbud, enl.spec.;Safety marking 150x210 mm, vinyl label, prohibition, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
4;VM;150-210;E;Varselmärkning 150x210 mm, vinyletikett, nöd, enl.spec.;Safety marking 150x210 mm, vinyl label, emergency, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
5;VM;150-210;F;Varselmärkning 150x210 mm, vinyletikett, brand, enl.spec.;Safety marking 150x210 mm, vinyl label, fire hazard, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
6;VM;150-210;D;Varselmärkning 150x210 mm, vinyletikett, fara, enl.spec.;Safety marking 150x210 mm, vinyl label, danger, acc.spec.;VM-Varselmärkning är ett tryckt etikett av vinyl som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VM-Information marking is a very high quality label made of self-adhesive vinyl. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Vinyletikett;Vinyl label;180.00;116.00;94.00;84.00;77.00;19.15;12.34;10.00;8.94;8.19;;1;1;VM_(M).jpg
7;VMS;150-210;M;Varselmärkning 150x210 mm, styrenskylt, påbud, enl.spec.;Safety marking 150x210 mm, styrene sign, mandatory, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
8;VMS;150-210;W;Varselmärkning 150x210 mm, styrenskylt, varning, enl.spec.;Safety marking 150x210 mm, styrene sign, warning, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
9;VMS;150-210;P;Varselmärkning 150x210 mm, styrenskylt, förbud, enl.spec.;Safety marking 150x210 mm, styrene sign, prohibition, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
10;VMS;150-210;E;Varselmärkning 150x210 mm, styrenskylt, nöd, enl.spec.;Safety marking 150x210 mm, styrene sign, emergency, acc.spec.;VMS-Varselmärkning är ett tryckt hårdplastskylt som har en väldig hög kvalité och hållbarhet. Finns i många symbol och text kombinationer.<br /><i>Söker du unik symbol eller text, kontakta Kortsystem direkt för beställning.</i>;VMS-Information marking is a very high quality sign made of hard plastic. Available with multiple symbols and text combinations.<br /><i>Searching for a unique symbol or text? Call or e-mail Kortsystem directly to place order.</i>;Hårdplastskylt;Hard plastic sign;373.00;245.00;202.00;181.00;168.00;39.68;26.06;21.49;19.26;17.87;;1;1;VM_(M).jpg
